id_student,gender,region,highest_education,studied_credits,imd_band,total_clicks,avg_score,engagement_level,performance_level,risk_level,pass_flag,dropout_flag,final_result,score_category,engagement_ratio,click_category
11391,M,East Anglian Region,HE Qualification,240,90-100%,934,82,Medium,High,Low Risk,1,0,Pass,High,3.891666667,Low
28400,F,Scotland,HE Qualification,60,20-30%,1435,66.4,Medium,Medium,Low Risk,1,0,Pass,Medium,23.91666667,Low
30268,F,North Western Region,A Level or Equivalent,60,30-40%,281,75.71428571,Low,High,Very High Risk,0,1,Withdrawn,High,4.683333333,Low
31604,F,South East Region,A Level or Equivalent,60,50-60%,2158,76,High,High,Low Risk,1,0,Pass,High,35.96666667,Low
32885,F,West Midlands Region,Lower Than A Level,60,50-60%,1034,54.4,Medium,Medium,Low Risk,1,0,Pass,Medium,17.23333333,Low
38053,M,Wales,A Level or Equivalent,60,80-90%,2445,68,High,Medium,Safe,1,0,Pass,High,40.75,Low
45462,M,Scotland,HE Qualification,60,30-40%,1492,68,Medium,Medium,Low Risk,1,0,Pass,High,24.86666667,Low
45642,F,North Western Region,A Level or Equivalent,120,90-100%,1428,72.4,Medium,High,Low Risk,1,0,Pass,High,11.9,Low
52130,F,East Anglian Region,A Level or Equivalent,90,70-80%,1894,71.4,High,High,Low Risk,1,0,Pass,High,21.04444444,Low
53025,M,North Region,Post Graduate Qualification,60,20-30%,3158,78,High,High,Safe,1,0,Pass,High,52.63333333,Medium
57506,M,South Region,Lower Than A Level,60,70-80%,1319,74,Medium,High,Low Risk,1,0,Pass,High,21.98333333,Low
58873,F,East Anglian Region,A Level or Equivalent,60,20-30%,1732,73.2,High,High,Low Risk,1,0,Pass,High,28.86666667,Low
59185,M,East Anglian Region,Lower Than A Level,60,60-70%,1102,78.6,Medium,High,Low Risk,1,0,Pass,High,18.36666667,Low
63400,M,Scotland,Lower Than A Level,60,40-50%,2737,71.6,High,High,Safe,1,0,Pass,High,45.61666667,Low
65002,F,East Anglian Region,A Level or Equivalent,60,70-80%,176,67,Low,Medium,Very High Risk,0,1,Withdrawn,High,2.933333333,Low
70464,F,West Midlands Region,A Level or Equivalent,60,60-70%,1053,55.6,Medium,Medium,Low Risk,1,0,Pass,Medium,17.55,Low
71361,M,Ireland,HE Qualification,60,20-30%,2327,80.4,High,High,Safe,1,0,Pass,High,38.78333333,Low
74372,M,East Anglian Region,A Level or Equivalent,150,Oct-20,116,48.5,Low,Low,Very High Risk,0,0,Fail,Medium,0.773333333,Low
75091,M,South West Region,A Level or Equivalent,60,30-40%,2992,66,High,Medium,Safe,1,0,Pass,Medium,49.86666667,Medium
77367,M,East Midlands Region,A Level or Equivalent,60,30-40%,680,70.4,Medium,High,High Risk,1,0,Pass,High,11.33333333,Low
91265,M,North Western Region,HE Qualification,60,0-10%,1494,70.8,Medium,High,Low Risk,1,0,Pass,High,24.9,Low
94961,M,South Region,Lower Than A Level,60,70-80%,1240,65.33333333,Medium,Medium,Low Risk,0,1,Withdrawn,Medium,20.66666667,Low
98094,M,Wales,Lower Than A Level,60,70-80%,2839,60.6,High,Medium,Safe,1,0,Pass,Medium,47.31666667,Low
100893,M,Yorkshire Region,A Level or Equivalent,60,20-30%,744,68.4,Medium,Medium,High Risk,1,0,Pass,High,12.4,Low
102806,M,North Western Region,A Level or Equivalent,60,30-40%,1944,78,High,High,Low Risk,1,0,Pass,High,32.4,Low
102952,M,London Region,HE Qualification,60,60-70%,1150,76.6,Medium,High,Low Risk,1,0,Pass,High,19.16666667,Low
106247,M,South Region,HE Qualification,60,80-90%,465,60,Low,Medium,High Risk,0,1,Withdrawn,Medium,7.75,Low
106577,M,East Midlands Region,Lower Than A Level,60,20-30%,733,53.4,Medium,Medium,High Risk,1,0,Pass,Medium,12.21666667,Low
110175,M,East Anglian Region,HE Qualification,60,80-90%,998,63.4,Medium,Medium,Low Risk,1,0,Pass,Medium,16.63333333,Low
111717,F,East Anglian Region,HE Qualification,60,90-100%,2343,81,High,High,Safe,1,0,Pass,High,39.05,Low
114017,F,North Region,Post Graduate Qualification,60,20-30%,757,71.8,Medium,High,High Risk,1,0,Pass,High,12.61666667,Low
114999,M,Yorkshire Region,HE Qualification,60,60-70%,1358,72.8,Medium,High,Low Risk,1,0,Pass,High,22.63333333,Low
116541,M,Wales,HE Qualification,60,0-10%,1886,62.4,High,Medium,Low Risk,1,0,Pass,Medium,31.43333333,Low
116692,M,East Anglian Region,A Level or Equivalent,60,70-80%,1108,74.2,Medium,High,Low Risk,1,0,Pass,High,18.46666667,Low
118983,M,East Midlands Region,HE Qualification,120,30-40%,284,61.8,Low,Medium,Very High Risk,1,0,Pass,Medium,2.366666667,Low
123044,M,South Region,A Level or Equivalent,60,40-50%,2041,71.4,High,High,Low Risk,1,0,Pass,High,34.01666667,Low
127582,F,East Midlands Region,A Level or Equivalent,180,40-50%,1321,69.6,Medium,Medium,Low Risk,1,0,Pass,High,7.338888889,Low
129955,M,West Midlands Region,A Level or Equivalent,60,50-60%,1888,81,High,High,Low Risk,0,1,Withdrawn,High,31.46666667,Low
132976,F,East Anglian Region,Lower Than A Level,120,80-90%,520,67.4,Medium,Medium,High Risk,1,0,Pass,High,4.333333333,Low
134143,F,South East Region,A Level or Equivalent,60,90-100%,2732,84.4,High,High,Safe,1,0,Distinction,High,45.53333333,Low
135335,F,East Anglian Region,Lower Than A Level,180,20-30%,73,75.71428571,Low,High,Very High Risk,0,1,Withdrawn,High,0.405555556,Low
135400,F,South East Region,Lower Than A Level,60,90-100%,610,53.14285714,Medium,Medium,High Risk,0,1,Withdrawn,Medium,10.16666667,Low
141355,F,East Midlands Region,A Level or Equivalent,240,30-40%,1823,72.6,High,High,Low Risk,1,0,Pass,High,7.595833333,Low
141377,M,South West Region,A Level or Equivalent,345,90-100%,756,48.83333333,Medium,Low,High Risk,0,1,Withdrawn,Medium,2.191304348,Low
142326,F,North Region,A Level or Equivalent,60,50-60%,2121,73.6,High,High,Low Risk,1,0,Pass,High,35.35,Low
145130,M,South West Region,HE Qualification,120,60-70%,452,54.4,Low,Medium,High Risk,1,0,Pass,Medium,3.766666667,Low
146188,F,West Midlands Region,A Level or Equivalent,60,20-30%,597,50,Medium,Low,High Risk,0,0,Fail,Medium,9.95,Low
147756,M,North Region,Lower Than A Level,120,60-70%,1718,68.66666667,High,Medium,Low Risk,0,0,Fail,High,14.31666667,Low
147793,F,North Region,Lower Than A Level,90,80-90%,155,52,Low,Medium,Very High Risk,0,1,Withdrawn,Medium,1.722222222,Low
151358,F,London Region,A Level or Equivalent,150,80-90%,270,50,Low,Low,Very High Risk,1,0,Pass,Medium,1.8,Low
155550,M,London Region,A Level or Equivalent,420,0-10%,1529,67,Medium,Medium,Low Risk,1,0,Pass,High,3.64047619,Low
155984,F,East Anglian Region,Lower Than A Level,60,70-80%,2645,78.14285714,High,High,Safe,0,1,Withdrawn,High,44.08333333,Low
157568,F,South West Region,A Level or Equivalent,60,90-100%,1405,70.6,Medium,High,Low Risk,1,0,Pass,High,23.41666667,Low
159954,M,East Midlands Region,A Level or Equivalent,60,40-50%,2062,68.2,High,Medium,Low Risk,0,1,Withdrawn,High,34.36666667,Low
164259,M,Scotland,A Level or Equivalent,60,70-80%,466,71.8,Low,High,High Risk,1,0,Pass,High,7.766666667,Low
167906,F,Yorkshire Region,A Level or Equivalent,60,40-50%,1510,69.4,Medium,Medium,Low Risk,1,0,Pass,High,25.16666667,Low
168936,F,West Midlands Region,Lower Than A Level,60,Oct-20,745,66.4,Medium,Medium,High Risk,1,0,Pass,Medium,12.41666667,Low
172112,M,Ireland,HE Qualification,60,20-30%,1939,69.6,High,Medium,Low Risk,1,0,Pass,High,32.31666667,Low
172797,F,Ireland,A Level or Equivalent,60,20-30%,1782,61.4,High,Medium,Low Risk,1,0,Pass,Medium,29.7,Low
175932,M,North Western Region,HE Qualification,60,70-80%,2016,78.2,High,High,Low Risk,1,0,Pass,High,33.6,Low
175991,F,North Western Region,A Level or Equivalent,180,80-90%,138,37.6,Low,Low,Very High Risk,0,0,Fail,Medium,0.766666667,Low
180753,M,South West Region,A Level or Equivalent,120,30-40%,2012,53.4,High,Medium,Low Risk,1,0,Pass,Medium,16.76666667,Low
181316,F,South West Region,A Level or Equivalent,120,80-90%,487,76,Medium,High,High Risk,0,1,Withdrawn,High,4.058333333,Low
183096,F,South West Region,A Level or Equivalent,60,60-70%,1975,54,High,Medium,Low Risk,1,0,Pass,Medium,32.91666667,Low
183947,M,London Region,A Level or Equivalent,180,Oct-20,964,49,Medium,Low,Low Risk,1,0,Pass,Medium,5.355555556,Low
184271,M,South West Region,HE Qualification,170,80-90%,1312,59.8,Medium,Medium,Low Risk,1,0,Pass,Medium,7.717647059,Low
185439,M,London Region,HE Qualification,120,Oct-20,427,74,Low,High,High Risk,0,0,Fail,High,3.558333333,Low
186149,M,Scotland,HE Qualification,60,30-40%,2136,76,High,High,Low Risk,1,0,Pass,High,35.6,Low
189879,M,Scotland,A Level or Equivalent,120,90-100%,1541,79.4,Medium,High,Low Risk,1,0,Pass,High,12.84166667,Low
192183,F,South West Region,Lower Than A Level,60,90-100%,3219,68.4,High,Medium,Safe,1,0,Pass,High,53.65,Medium
195262,M,London Region,A Level or Equivalent,60,90-100%,1905,50,High,Low,Low Risk,0,1,Withdrawn,Medium,31.75,Low
200860,M,London Region,Lower Than A Level,60,50-60%,534,54.4,Medium,Medium,High Risk,1,0,Pass,Medium,8.9,Low
202635,F,Wales,A Level or Equivalent,60,30-40%,1418,66.66666667,Medium,Medium,Low Risk,0,1,Withdrawn,High,23.63333333,Low
205350,M,South West Region,HE Qualification,60,80-90%,1665,72.2,High,High,Low Risk,1,0,Pass,High,27.75,Low
205719,M,East Anglian Region,A Level or Equivalent,90,40-50%,333,56.66666667,Low,Medium,High Risk,0,0,Fail,Medium,3.7,Low
227499,F,London Region,A Level or Equivalent,60,Oct-20,2953,83.6,High,High,Safe,1,0,Distinction,High,49.21666667,Medium
227517,M,Ireland,HE Qualification,180,20-30%,1205,62.6,Medium,Medium,Low Risk,0,0,Fail,Medium,6.694444444,Low
228082,M,London Region,HE Qualification,60,60-70%,227,72.4,Low,High,Very High Risk,1,0,Pass,High,3.783333333,Low
228222,M,East Midlands Region,Lower Than A Level,60,50-60%,445,61.8,Low,Medium,High Risk,1,0,Pass,Medium,7.416666667,Low
229179,M,West Midlands Region,A Level or Equivalent,60,20-30%,614,66,Medium,Medium,High Risk,1,0,Pass,Medium,10.23333333,Low
229361,M,East Midlands Region,A Level or Equivalent,60,50-60%,1215,78,Medium,High,Low Risk,1,0,Pass,High,20.25,Low
231554,M,London Region,A Level or Equivalent,240,40-50%,1839,67.75,High,Medium,Low Risk,1,0,Pass,High,7.6625,Low
235507,M,Yorkshire Region,A Level or Equivalent,240,90-100%,1257,57.83333333,Medium,Medium,Low Risk,0,1,Withdrawn,Medium,5.2375,Low
236284,M,Scotland,Post Graduate Qualification,60,90-100%,732,78,Medium,High,High Risk,1,0,Pass,High,12.2,Low
238007,M,South Region,HE Qualification,60,90-100%,1935,79.2,High,High,Low Risk,1,0,Pass,High,32.25,Low
240712,M,London Region,HE Qualification,80,80-90%,321,75.8,Low,High,Very High Risk,1,0,Pass,High,4.0125,Low
240884,M,South Region,A Level or Equivalent,120,90-100%,427,58.4,Low,Medium,High Risk,1,0,Pass,Medium,3.558333333,Low
241649,M,East Anglian Region,HE Qualification,60,90-100%,1892,78.8,High,High,Low Risk,1,0,Pass,High,31.53333333,Low
241729,F,East Midlands Region,HE Qualification,60,60-70%,1829,58.6,High,Medium,Low Risk,0,0,Fail,Medium,30.48333333,Low
242793,M,London Region,HE Qualification,60,20-30%,658,77.4,Medium,High,High Risk,1,0,Pass,High,10.96666667,Low
246834,M,South West Region,A Level or Equivalent,60,90-100%,1174,55.6,Medium,Medium,Low Risk,1,0,Pass,Medium,19.56666667,Low
248270,M,North Western Region,Lower Than A Level,90,20-30%,1969,78.4,High,High,Low Risk,1,0,Pass,High,21.87777778,Low
255548,M,Wales,Lower Than A Level,60,20-30%,2580,71.4,High,High,Safe,1,0,Pass,High,43,Low
256815,M,North Western Region,HE Qualification,120,Oct-20,1481,76.8,Medium,High,Low Risk,1,0,Pass,High,12.34166667,Low
258392,F,West Midlands Region,Lower Than A Level,60,30-40%,844,58.8,Medium,Medium,High Risk,1,0,Pass,Medium,14.06666667,Low
260355,F,London Region,A Level or Equivalent,60,80-90%,426,57.5,Low,Medium,High Risk,0,1,Withdrawn,Medium,7.1,Low
262011,M,East Midlands Region,A Level or Equivalent,60,20-30%,1066,71,Medium,High,Low Risk,1,0,Pass,High,17.76666667,Low
262934,F,North Western Region,A Level or Equivalent,60,30-40%,2407,76.6,High,High,Safe,1,0,Pass,High,40.11666667,Low
268073,M,East Anglian Region,A Level or Equivalent,90,Oct-20,3210,74.6,High,High,Safe,0,0,Fail,High,35.66666667,Low
268733,M,East Anglian Region,A Level or Equivalent,180,30-40%,191,43,Low,Low,Very High Risk,0,1,Withdrawn,Medium,1.061111111,Low
271251,M,Scotland,A Level or Equivalent,60,80-90%,3348,76.4,High,High,Safe,1,0,Pass,High,55.8,Medium
277880,F,South East Region,A Level or Equivalent,60,60-70%,2028,67.66666667,High,Medium,Low Risk,0,1,Withdrawn,High,33.8,Low
279572,M,London Region,Lower Than A Level,60,40-50%,1183,79.2,Medium,High,Low Risk,1,0,Distinction,High,19.71666667,Low
281022,F,Scotland,A Level or Equivalent,150,30-40%,492,73.4,Medium,High,High Risk,1,0,Pass,High,3.28,Low
281250,M,Wales,Lower Than A Level,60,70-80%,130,55.4,Low,Medium,Very High Risk,0,0,Fail,Medium,2.166666667,Low
281589,M,North Western Region,HE Qualification,60,30-40%,59,75.71428571,Low,High,Very High Risk,0,0,Fail,High,0.983333333,Low
282821,M,South West Region,A Level or Equivalent,60,30-40%,1961,60.6,High,Medium,Low Risk,1,0,Pass,Medium,32.68333333,Low
286488,M,South East Region,A Level or Equivalent,60,90-100%,1046,71,Medium,High,Low Risk,1,0,Pass,High,17.43333333,Low
287548,M,East Anglian Region,A Level or Equivalent,120,90-100%,483,67.8,Medium,Medium,High Risk,1,0,Pass,High,4.025,Low
290201,M,Wales,A Level or Equivalent,60,20-30%,1740,70.4,High,High,Low Risk,1,0,Pass,High,29,Low
290757,M,North Western Region,A Level or Equivalent,60,30-40%,652,75,Medium,High,High Risk,1,0,Pass,High,10.86666667,Low
292923,F,South East Region,A Level or Equivalent,180,90-100%,903,75.71428571,Low,High,Very High Risk,0,1,Withdrawn,High,5.016666667,Low
293699,M,East Midlands Region,A Level or Equivalent,120,70-80%,187,46.75,Low,Low,Very High Risk,1,0,Pass,Medium,1.558333333,Low
294570,M,South East Region,HE Qualification,60,90-100%,1775,78.2,High,High,Low Risk,1,0,Pass,High,29.58333333,Low
294594,M,South East Region,A Level or Equivalent,60,90-100%,865,52.8,Medium,Medium,High Risk,1,0,Pass,Medium,14.41666667,Low
295741,M,South East Region,A Level or Equivalent,240,40-50%,3099,71,High,High,Safe,0,0,Fail,High,12.9125,Low
296332,M,South Region,Post Graduate Qualification,60,90-100%,2152,86.8,High,High,Low Risk,1,0,Distinction,High,35.86666667,Low
298696,F,South East Region,HE Qualification,60,80-90%,514,80.8,Medium,High,High Risk,1,0,Pass,High,8.566666667,Low
300398,M,West Midlands Region,A Level or Equivalent,60,30-40%,1997,78.8,High,High,Low Risk,1,0,Pass,High,33.28333333,Low
302302,F,East Anglian Region,A Level or Equivalent,60,40-50%,513,58.66666667,Medium,Medium,High Risk,0,0,Fail,Medium,8.55,Low
305152,M,North Western Region,A Level or Equivalent,60,70-80%,146,64,Low,Medium,Very High Risk,0,0,Fail,Medium,2.433333333,Low
305386,M,West Midlands Region,A Level or Equivalent,120,70-80%,1277,78,Medium,High,Low Risk,1,0,Pass,High,10.64166667,Low
305539,F,Wales,Lower Than A Level,120,80-90%,68,75.71428571,Low,High,Very High Risk,0,1,Withdrawn,High,0.566666667,Low
306107,M,West Midlands Region,A Level or Equivalent,120,50-60%,987,58.2,Medium,Medium,Low Risk,1,0,Pass,Medium,8.225,Low
306466,M,East Anglian Region,A Level or Equivalent,60,90-100%,1220,82,Medium,High,Low Risk,1,0,Pass,High,20.33333333,Low
306897,F,London Region,A Level or Equivalent,60,Oct-20,2742,62.6,High,Medium,Safe,1,0,Pass,Medium,45.7,Low
307061,F,East Midlands Region,HE Qualification,60,Oct-20,1081,81.2,Medium,High,Low Risk,1,0,Pass,High,18.01666667,Low
307866,M,West Midlands Region,A Level or Equivalent,60,70-80%,1476,60,Medium,Medium,Low Risk,1,0,Pass,Medium,24.6,Low
